카페 자동발행 운영 기록
대상 주간	2026-06-08 ~ 2026-06-14
최종 확인	2026-06-14 18:09:56 KST
확인 기준	DB 미사용 / 네이버 카페 글 목록·글 API 기준

전체 요약	계획	발행완료	예정	실패	미게시	완료율
전체	=COUNTA($A$19:$A)	=COUNTIF($K$19:$K,"발행완료")	=COUNTIF($K$19:$K,"예정")	=COUNTIF($K$19:$K,"실패")	=COUNTIF($K$19:$K,"미게시")	=IFERROR(C7/(B7-D7),"")

카페별 요약	계획	발행완료	예정	실패	미게시	완료율
건강한노후준비	=COUNTIF($D$19:$D,A10)	=COUNTIFS($D$19:$D,A10,$K$19:$K,"발행완료")	=COUNTIFS($D$19:$D,A10,$K$19:$K,"예정")	=COUNTIFS($D$19:$D,A10,$K$19:$K,"실패")	=COUNTIFS($D$19:$D,A10,$K$19:$K,"미게시")	=IFERROR(C10/(B10-D10),"")
건강관리소	=COUNTIF($D$19:$D,A11)	=COUNTIFS($D$19:$D,A11,$K$19:$K,"발행완료")	=COUNTIFS($D$19:$D,A11,$K$19:$K,"예정")	=COUNTIFS($D$19:$D,A11,$K$19:$K,"실패")	=COUNTIFS($D$19:$D,A11,$K$19:$K,"미게시")	=IFERROR(C11/(B11-D11),"")
쇼핑지름신	=COUNTIF($D$19:$D,A12)	=COUNTIFS($D$19:$D,A12,$K$19:$K,"발행완료")	=COUNTIFS($D$19:$D,A12,$K$19:$K,"예정")	=COUNTIFS($D$19:$D,A12,$K$19:$K,"실패")	=COUNTIFS($D$19:$D,A12,$K$19:$K,"미게시")	=IFERROR(C12/(B12-D12),"")
샤넬오픈런	=COUNTIF($D$19:$D,A13)	=COUNTIFS($D$19:$D,A13,$K$19:$K,"발행완료")	=COUNTIFS($D$19:$D,A13,$K$19:$K,"예정")	=COUNTIFS($D$19:$D,A13,$K$19:$K,"실패")	=COUNTIFS($D$19:$D,A13,$K$19:$K,"미게시")	=IFERROR(C13/(B13-D13),"")

유형별 요약	계획	발행완료	예정	실패	미게시	완료율
ad	=COUNTIF($E$19:$E,A16)	=COUNTIFS($E$19:$E,A16,$K$19:$K,"발행완료")	=COUNTIFS($E$19:$E,A16,$K$19:$K,"예정")	=COUNTIFS($E$19:$E,A16,$K$19:$K,"실패")	=COUNTIFS($E$19:$E,A16,$K$19:$K,"미게시")	=IFERROR(C16/(B16-D16),"")
daily	=COUNTIF($E$19:$E,A17)	=COUNTIFS($E$19:$E,A17,$K$19:$K,"발행완료")	=COUNTIFS($E$19:$E,A17,$K$19:$K,"예정")	=COUNTIFS($E$19:$E,A17,$K$19:$K,"실패")	=COUNTIFS($E$19:$E,A17,$K$19:$K,"미게시")	=IFERROR(C17/(B17-D17),"")
daily-ad	=COUNTIF($E$19:$E,A18)	=COUNTIFS($E$19:$E,A18,$K$19:$K,"발행완료")	=COUNTIFS($E$19:$E,A18,$K$19:$K,"예정")	=COUNTIFS($E$19:$E,A18,$K$19:$K,"실패")	=COUNTIFS($E$19:$E,A18,$K$19:$K,"미게시")	=IFERROR(C18/(B18-D18),"")
주간	예정일	예정시각	카페	유형	키워드/주제	계정	카테고리	계획출처	실제게시시각	실제상태	글번호	실제제목	글URL	확인근거	실패/비고
2026-06-08~2026-06-14	2026-06-13	22:25	건강한노후준비	ad	흑염소 엑기스 부작용	mh8j62wm	흑염소진액정보	standard	2026-06-13 22:28:42	발행완료	32064	흑염소 엑기스 부작용 궁금하다면 확인할 점	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32064","열기")	키워드 본문/제목 일치, 게시판 일치, 제목 토큰 3/3 일치	
2026-06-08~2026-06-14	2026-06-13	22:28	건강관리소	ad	흑염소진액 남자	angrykoala270	취미이야기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	22:31	샤넬오픈런	daily	토요일 야식 기다리면서 명품 카페 글만 보는 중	tinyfish183	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	22:34	쇼핑지름신	daily	토요일에 무신사 여름티 보다가 색상만 계속 고민 중	mh8j62wm	일상톡톡	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	22:38	쇼핑지름신	ad	밥 안먹는 아이	angrykoala270	일반 쇼핑후기	standard	2026-06-13 22:39:27	발행완료	11350073	밥 안먹는 아이랑 다른거 같이 챙겨먹는 분 계신가요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11350073","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	22:41	건강한노후준비	ad	출산후 한약	tinyfish183	한약재정보	standard	2026-06-13 22:45:09	발행완료	32065	출산후 한약 괜찮을까 몸 상태별 체크 포인트	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32065","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	22:44	건강관리소	ad	흑염소중탕	compare14310	건강이야기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-13	22:47	쇼핑지름신	ad	아빠 생신 건강선물	regular14631	일반 쇼핑후기	standard	2026-06-13 22:48:22	발행완료	11350093	아빠 생신 건강선물 사드리고 저도 같이 챙겨먹어요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11350093","열기")	키워드 본문/제목 일치, 게시판 일치, 제목 토큰 3/3 일치	
2026-06-08~2026-06-14	2026-06-13	22:50	건강한노후준비	ad	흑염소진액 효과	nes1p2kx	흑염소진액정보	standard	2026-06-13 22:53:42	발행완료	32066	흑염소진액 효과 궁금하다면 이 기준부터 확인해보세요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32066","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	22:53	건강관리소	ad	유산 후 몸조리 음식	mh8j62wm	건강 관리 후기	standard	2026-06-13 22:56:50	발행완료	2183	유산 후 몸조리 음식 어떤 기준으로 챙겨야 할까	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25227349/articles/2183","열기")	키워드 본문/제목 일치, 게시판 일치, 제목 토큰 3/3 일치	
2026-06-08~2026-06-14	2026-06-13	22:56	건강한노후준비	ad	여름철 보양식	angrykoala270	건강상식	standard	2026-06-13 22:59:46	발행완료	32067	여름철 보양식 고를 때 꼭 확인할 세 가지	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32067","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-13	22:59	건강관리소	ad	산모에게좋은음식	fail5644	건강이야기	standard	2026-06-13 23:02:24	발행완료	2184	산모에게좋은음식 챙길 때 확인할 세 가지 기준	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25227349/articles/2184","열기")	키워드 본문/제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-14	15:00	쇼핑지름신	ad	흑염소진액 성분	olgdmp9921	일반 쇼핑후기	standard		실패				카페 글 미확인 및 원장 실패 표시	제목 입력창을 찾을 수 없습니다. 현재 URL: https://cafe.naver.com/ca-fe/cafes/25729954/articles/11351156
2026-06-08~2026-06-14	2026-06-14	15:09	샤넬오픈런	daily-ad	샤넬 25 미디엄 캐비어 블랙 골드 일요일 오후 매장 입고 알림 또 기다림	yenalk	_ 일상샤반사 📆	standard		실패				카페 글 미확인 및 원장 실패 표시	제목 입력창을 찾을 수 없습니다. 현재 URL: https://cafe.naver.com/ca-fe/cafes/25460974/articles/310125
2026-06-08~2026-06-14	2026-06-14	15:20	건강한노후준비	ad	갱년기 흑염소	8i2vlbym	건강정보	standard	2026-06-14 15:23:33	발행완료	32068	갱년기 흑염소 고르기 전에 확인할 기준 5가지	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32068","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	15:28	건강관리소	ad	모유수유흑염소	heavyzebra240	건강이야기	standard	2026-06-14 15:31:34	발행완료	2188	모유수유 중 흑염소가 도움되는 이유	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25227349/articles/2188","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	15:40	쇼핑지름신	daily	일요일 오후 다이소 봄정리함 5만원어치 결제하고 정리하는 중	eytkgy5500	일상톡톡	standard	2026-06-14 15:41:20	발행완료	11351282	일요일 오후에 다이소에서 무슨 짓을 한 건지	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11351282","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	15:50	샤넬오픈런	daily	폭싹 속았수다 마지막회 보면서 샤넬 인스타 정주행 중인 일요일 오후	uqgidh2690	_ 일상샤반사 📆	standard	2026-06-14 15:51:14	발행완료	310142	일요일 오후 폰만 보고 있어요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25460974/articles/310142","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	16:03	쇼핑지름신	ad	80대 할머니 선물	4giccokx	일반 쇼핑후기	standard		실패				카페 글 미확인 및 원장 실패 표시	제목 입력창을 찾을 수 없습니다. 현재 URL: https://cafe.naver.com/ca-fe/cafes/25729954/articles/11351331
2026-06-08~2026-06-14	2026-06-14	16:10	건강한노후준비	ad	자라탕 효능	njmzdksm	건강상식	standard	2026-06-14 16:13:45	발행완료	32069	자라탕 효능 제대로 보려면 꼭 확인할 것	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32069","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	16:21	건강관리소	ad	임산부 잉어즙	e6yb5u4k	건강 관리 후기	standard	2026-06-14 16:24:43	발행완료	2189	임산부가 잉어즙 대신 챙길 수 있는 건강 루틴	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25227349/articles/2189","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	16:30	샤넬오픈런	daily-ad	디올 새들백 미디엄 오블리크 일요일 오후 위시리스트 정리 중	eytkgy5500	_ 일상샤반사 📆	standard		실패				카페 글 미확인 및 원장 실패 표시	제목 입력창을 찾을 수 없습니다. 현재 URL: https://cafe.naver.com/ca-fe/cafes/25460974/articles/310151
2026-06-08~2026-06-14	2026-06-14	16:42	쇼핑지름신	ad	기력보충 음식	yenalk	일반 쇼핑후기	standard	2026-06-14 16:43:25	발행완료	11351436	기력보충 음식 한달 먹고 느낀점	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11351436","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	16:50	건강한노후준비	ad	흑염소 효능	suc4dce7	흑염소진액정보	standard	2026-06-14 16:53:56	발행완료	32070	흑염소 효능 궁금하다면 꼭 알아야 할 기준	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32070","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	17:00	건강관리소	ad	김오곤 흑염소	xzjmfn3f	건강이야기	standard	2026-06-14 17:03:49	발행완료	2190	흑염소, 검색만으로 고르면 놓치는 기준들	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25227349/articles/2190","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	17:08	쇼핑지름신	ad	흑염소진액 성분	compare14310	일반 쇼핑후기	ledger-only		실패				카페 글 미확인 및 원장 실패 표시	제목 입력창을 찾을 수 없습니다. 현재 URL: https://cafe.naver.com/ca-fe/cafes/25729954/articles/11351511
2026-06-08~2026-06-14	2026-06-14	17:13	샤넬오픈런	daily	일요일 저녁 BBQ 황금올리브 시켜놓고 샤넬 25 카탈로그 보는 중	olgdmp9921	_ 일상샤반사 📆	standard	2026-06-14 17:14:13	발행완료	310157	일요일 저녁 치킨에 카탈로그	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25460974/articles/310157","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	17:18	쇼핑지름신	ad	수험생 체력관리	regular14631	일반 쇼핑후기	replacement	2026-06-14 17:19:38	발행완료	11351530	수험생 체력관리 어떤 거 드시나요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11351530","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	17:22	쇼핑지름신	daily	쿠팡 로켓배송 곱창 밀키트 카트에 담는 일요일 저녁	uqgidh2690	일상톡톡	standard	2026-06-14 17:24:05	발행완료	11351552	아이고 일요일이 다 갔어요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11351552","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	17:33	건강한노후준비	ad	보양음식	8ua1womn	건강정보	standard	2026-06-14 17:37:11	발행완료	32075	보양식 고를 때 놓치는 기준 하나	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25636798/articles/32075","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	17:37	쇼핑지름신	ad	80대 할머니 선물	fail5644	일반 쇼핑후기	ledger-only		실패				카페 글 미확인 및 원장 실패 표시	제목 입력창을 찾을 수 없습니다. 현재 URL: https://cafe.naver.com/ca-fe/cafes/25729954/articles/11351608
2026-06-08~2026-06-14	2026-06-14	17:40	건강관리소	ad	임신준비 한약	0ehz3cb2	자유로운이야기	standard	2026-06-14 17:43:29	발행완료	2191	임신준비 한약 언제부터 어떻게 챙기면 좋을까	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25227349/articles/2191","열기")	카페 글 목록에서 글번호 확인	
2026-06-08~2026-06-14	2026-06-14	17:52	쇼핑지름신	ad	시험관 착상에 좋은 음식	eytkgy5500	일반 쇼핑후기	standard	2026-06-14 17:55:00	발행완료	11351646	시험관 착상에 좋은 음식 엄마가 챙겨주셔서 먹고 있어요	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25729954/articles/11351646","열기")	키워드 본문/제목 일치, 제목 일치, 게시판 일치, 제목 토큰 4/4 일치	
2026-06-08~2026-06-14	2026-06-14	18:02	샤넬오픈런	daily-ad	에르메스 콘스탄스 24 골드 일요일 저녁 매물 알림 기다리는 중	4giccokx	_ 일상샤반사 📆	standard	2026-06-14 18:05:19	발행완료	310175	에르메스 기다리다 지침	=HYPERLINK("https://cafe.naver.com/ca-fe/cafes/25460974/articles/310175","열기")	제목 일치, 게시판 일치	
2026-06-08~2026-06-14	2026-06-14	18:10	건강한노후준비	ad	어린이흑염소진액	umhu0m83	흑염소진액정보	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	18:23	건강관리소	ad	60대 엄마 선물	br5rbg	취미이야기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	18:27	샤넬오픈런	daily-ad	프라다 리에디션 2005 블랙 일요일 저녁 착샷만 저장 중	nes1p2kx	_ 일상샤반사 📆	replacement		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	18:34	쇼핑지름신	daily	폭싹 속았수다 보면서 마켓컬리 새벽배송 김밥 시킨 일요일 저녁	olgdmp9921	일상톡톡	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	18:43	샤넬오픈런	daily	21세기 대군부인 아이유 변우석 보면서 저녁 라면 시키는 일요일 저녁	yenalk	_ 일상샤반사 📆	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	18:53	쇼핑지름신	ad	고등학생 비타민	uqgidh2690	일반 쇼핑후기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	19:05	건강한노후준비	ad	갈근탕 효능	beautifulelephant274	한약재정보	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	19:12	건강관리소	ad	활성형 엽산	angrykoala270	건강이야기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	19:23	샤넬오픈런	daily-ad	루이비통 카퓌신 BB 갈레 일요일 밤 매장 가격 비교 중	olgdmp9921	_ 일상샤반사 📆	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	19:36	쇼핑지름신	ad	임신준비 금연 성공	4giccokx	일반 쇼핑후기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	19:43	쇼핑지름신	ad	부모님 기력회복 선물	tinyfish183	일반 쇼핑후기	replacement		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	19:44	건강한노후준비	ad	모유수유 흑염소	tinyfish183	질문게시판	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	19:54	건강관리소	ad	60대 여자 선물	orangeswan630	취미이야기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	20:03	쇼핑지름신	daily	무신사 봄세일 장바구니 30만원 넘어서 망설이는 일요일 밤	eytkgy5500	일상톡톡	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	20:15	샤넬오픈런	daily	무신사 봄세일 보다가 샤넬 자켓 위시리스트 옮기는 일요일 밤	uqgidh2690	_ 일상샤반사 📆	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	20:26	쇼핑지름신	ad	김소형 흑염소 스틱	yenalk	일반 쇼핑후기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	20:33	건강한노후준비	ad	50세 임신	8i2vlbym	자유게시판	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	20:46	건강관리소	ad	영양제 복용시간	heavyzebra240	건강이야기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	20:54	샤넬오픈런	daily-ad	보테가 카세트 미니 폰덴테 일요일 밤 매물 찾는 중	eytkgy5500	_ 일상샤반사 📆	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	20:58	샤넬오픈런	daily-ad	샤넬 클래식 카드지갑 캐비어 블랙 일요일 밤 가격 다시 보는 중	mh8j62wm	_ 일상샤반사 📆	replacement		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	21:04	쇼핑지름신	ad	개구리즙 효능	4giccokx	일반 쇼핑후기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	21:16	건강한노후준비	ad	천호 흑염소	njmzdksm	흑염소진액정보	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	21:25	건강관리소	ad	출산후 영양제	e6yb5u4k	건강 관리 후기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	21:36	샤넬오픈런	daily	일요일 밤 디올 부티크 인스타 새 게시물 알림 떠서 또 봄	olgdmp9921	_ 일상샤반사 📆	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	21:44	쇼핑지름신	daily	21세기 대군부인 아이유 코디 보고 W컨셉 봄옷 결제 직전 일요일 밤	yenalk	일상톡톡	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	21:57	쇼핑지름신	ad	동결 자연주기	uqgidh2690	일반 쇼핑후기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	22:07	건강한노후준비	ad	산후 영양제	suc4dce7	건강상식	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	22:14	건강관리소	ad	출산축하선물	xzjmfn3f	취미이야기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	22:25	쇼핑지름신	ad	김소형원방 흑염소진액	eytkgy5500	일반 쇼핑후기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	22:33	건강한노후준비	ad	흑염소엑기스 복용법 효능	8ua1womn	흑염소진액정보	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	22:43	건강관리소	ad	둘째출산선물	0ehz3cb2	자유로운이야기	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	22:50	건강한노후준비	ad	갱년기 클리닉	umhu0m83	건강정보	standard		예정				검토 시각 이후 예약	
2026-06-08~2026-06-14	2026-06-14	22:59	건강관리소	ad	임신 좋은 음식	br5rbg	건강이야기	standard		예정				검토 시각 이후 예약	
